Shp_No;Delivery_day;Plant;Ship-to2;Pallets;GWkg;TT;TT2
557812;02.01.2008;DE14;10099274;2.81;814.616;GRP;SG
557812;02.01.2008;DE14;10100117;1.5;509.6;GRP;SG
557812;02.01.2008;DE14;10106452;2.25;490.97;GRP;SG
557812;02.01.2008;DE14;10108143;2.5;643.6;GRP;SG
557812;02.01.2008;DE14;10108144;2.51;531.016;GRP;SG
557812;02.01.2008;DE14;10108156;2.44;538.456;GRP;SG
557812;02.01.2008;DE14;10108166;1.63;283.84;GRP;SG
557812;02.01.2008;DE14;10108370;1.43;893.398;GRP;SG
557812;02.01.2008;DE14;10138913;2.99;644.956;GRP;SG
557812;02.01.2008;DE14;10159166;3.36;902.346;GRP;SG
557814;02.01.2008;DE14;10101780;2.88;1782.693;GRP;TL
557814;02.01.2008;DE14;10101781;9.51;4770.536;DIR;TL
557814;02.01.2008;DE14;10101999;1.1;179.532;GRP;SG
557814;02.01.2008;DE14;10102189;1.87;1046.13;GRP;TL
557814;02.01.2008;DE14;10102204;1.1;211.662;GRP;SG
557814;02.01.2008;DE14;10102761;0.6;388.74;GRP;SG
557814;02.01.2008;DE14;10103187;2.95;1387.02;GRP;TL
557814;02.01.2008;DE14;10103616;0.32;60.608;GRP;SG
557814;02.01.2008;DE14;10107561;0.48;133.524;GRP;SG
557816;02.01.2008;DE14;10101789;2.69;1448.19;GRP;TL
557816;02.01.2008;DE14;10101844;1.82;1181.13;GRP;TL
557817;02.01.2008;DE14;10102966;6.13;3586.72;DIR;TL
557818;02.01.2008;DE14;10101708;3.54;2447.353;GRP;TL
557818;02.01.2008;DE14;10101820;0.5;198;GRP;SG
557818;02.01.2008;DE14;10102022;0.84;151.312;GRP;SG
557818;02.01.2008;DE14;10102866;1.68;327.902;GRP;SG
557818;02.01.2008;DE14;10103075;0.85;141.048;GRP;SG
557819;02.01.2008;DE14;10103284;41.83;17856.695;DIR;KL
557823;02.01.2008;DE14;10102620;1.86;335.556;GRP;SG
557825;02.01.2008;DE14;10099554;2.6;1910.239;GRP;TL
557825;02.01.2008;DE14;10100147;1.82;1050.991;GRP;TL
557825;02.01.2008;DE14;10106283;0.19;113.4;GRP;SG
557825;02.01.2008;DE14;10107928;3.41;1935.992;GRP;TL
557825;02.01.2008;DE14;10108170;3.37;1676.508;GRP;TL
557826;02.01.2008;DE14;10099300;3.21;1920.081;GRP;TL
557826;02.01.2008;DE14;10099307;2.25;800.735;GRP;SG
557826;02.01.2008;DE14;10099572;5.06;3460.409;DIR;TL
557826;02.01.2008;DE14;10101162;0.5;185.8;GRP;SG
557826;02.01.2008;DE14;10101739;0.94;190.13;GRP;SG
557826;02.01.2008;DE14;10106382;3.88;2104.533;GRP;TL
557826;02.01.2008;DE14;10107659;1;266.8;GRP;SG
557826;02.01.2008;DE14;10156907;5.01;862.054;GRP;SG
557827;02.01.2008;DE14;10103093;2.07;823.4;GRP;SG
557827;02.01.2008;DE14;10145180;1.81;866;GRP;SG
557835;02.01.2008;DE14;10105935;0.11;86.7;GRP;SG
557836;02.01.2008;DE14;10105722;6.42;3026.261;DIR;TL
557845;02.01.2008;DE14;10099544;2.31;1527.773;GRP;TL
557845;02.01.2008;DE14;10099565;3.43;1984.836;GRP;TL
557845;02.01.2008;DE14;10099589;3.29;1807.093;GRP;TL
557845;02.01.2008;DE14;10100246;1.31;451.27;GRP;SG
557845;02.01.2008;DE14;10101253;2.89;1542.097;GRP;TL
557845;02.01.2008;DE14;10101259;1.87;1283.4;GRP;TL
557845;02.01.2008;DE14;10106203;3.57;2020.65;GRP;TL
557846;02.01.2008;DE17;10099259;0.64;696;GRP;SG
557846;02.01.2008;DE17;10099524;1.09;288.95;GRP;SG
557846;02.01.2008;DE17;10099892;1.45;1013.46;GRP;TL
557846;02.01.2008;DE17;10100081;1.39;353.21;GRP;SG
557846;02.01.2008;DE17;10100223;0.4;110.68;GRP;SG
557846;02.01.2008;DE17;10101035;1.58;938.045;GRP;SG
557846;02.01.2008;DE17;10102733;2.13;470.6;GRP;SG
557846;02.01.2008;DE17;10103414;1;287.7;GRP;SG
557846;02.01.2008;DE17;10104625;4.83;2915.173;GRP;TL
557846;02.01.2008;DE17;10106173;0.71;153;GRP;SG
557846;02.01.2008;DE17;10106271;0.71;153;GRP;SG
557846;02.01.2008;DE17;10107021;2.05;586.38;GRP;SG
557846;02.01.2008;DE17;10107633;0.97;193.35;GRP;SG
557846;02.01.2008;DE17;10107835;6.75;1591.4;GRP;TL
557846;02.01.2008;DE17;10107837;3.4;723.5;GRP;SG
557846;02.01.2008;DE17;10114436;0.64;91.16;GRP;SG
557846;02.01.2008;DE17;10121549;2.62;1844.109;GRP;TL
557847;02.01.2008;DE17;10106687;50;20972.8;DIR;KL
557850;02.01.2008;DE12;10099423;55.3;20035.928;DIR;KL
557851;02.01.2008;DE14;10099650;59.51;18323.658;DIR;KL
557853;02.01.2008;DE14;10099202;1.9;439.22;GRP;SG
557853;02.01.2008;DE14;10099242;2.43;637.04;GRP;SG
557853;02.01.2008;DE14;10099290;1.79;378.55;GRP;SG
557853;02.01.2008;DE14;10105777;5.5;854.4;GRP;SG
557853;02.01.2008;DE14;10105817;2;533.6;GRP;SG
557853;02.01.2008;DE14;10136917;2;585.6;GRP;SG
557853;02.01.2008;DE14;10164951;2.92;729.76;GRP;SG
557854;02.01.2008;DE14;10099956;1;323.8;GRP;SG
557854;02.01.2008;DE14;10099961;0.66;339.5;GRP;SG
557854;02.01.2008;DE14;10107621;2.79;475.35;GRP;SG
557855;02.01.2008;DE14;10100391;2.99;1678.39;GRP;TL
557855;02.01.2008;DE14;10105622;3.19;1693.465;GRP;TL
557856;02.01.2008;DE14;10099321;0.25;104;GRP;SG
557856;02.01.2008;DE14;10100137;2.91;1484.212;GRP;TL
557856;02.01.2008;DE14;10100142;0.37;347.1;GRP;SG
557856;02.01.2008;DE14;10100158;2.33;1000.918;GRP;TL
557856;02.01.2008;DE14;10100833;5.36;3414.201;DIR;TL
557856;02.01.2008;DE14;10101307;0.26;260.4;GRP;SG
557856;02.01.2008;DE14;10101517;0.2;231.4;GRP;SG
557856;02.01.2008;DE14;10102325;0.96;569.936;GRP;SG
557856;02.01.2008;DE14;10105740;3.36;941.306;GRP;SG
557856;02.01.2008;DE14;10106218;1.8;851.879;GRP;SG
557856;02.01.2008;DE14;10108348;2.09;1105.267;GRP;TL
557856;02.01.2008;DE14;10156437;1.99;887.726;GRP;SG
557856;02.01.2008;DE14;10159972;0.13;75.4;GRP;SG
557861;02.01.2008;DE17;10099204;5.31;3357.407;DIR;TL
557861;02.01.2008;DE17;10099510;2.67;1610.125;GRP;TL
557861;02.01.2008;DE17;10099513;7.21;4025.245;DIR;TL
557861;02.01.2008;DE17;10099963;1.5;210.8;GRP;SG
557862;02.01.2008;DE17;10100367;3.66;1965.544;GRP;TL
557862;02.01.2008;DE17;10105757;1.5;357.2;GRP;SG
557862;02.01.2008;DE17;10106017;1;987.6;GRP;SG
557863;02.01.2008;DE14;10103750;2;581.04;GRP;SG
557864;02.01.2008;DE14;10099282;6.37;4125.627;DIR;TL
557864;02.01.2008;DE14;10100289;4.92;3107.718;DIR;TL
557864;02.01.2008;DE14;10108184;10;3892.8;DIR;TL
557864;02.01.2008;DE14;10156434;4.07;2228.344;GRP;TL
557873;02.01.2008;DE14;10099251;2.45;1827.51;GRP;TL
557873;02.01.2008;DE14;10099367;0.96;266.5;GRP;SG
557873;02.01.2008;DE14;10099405;0.67;204.64;GRP;SG
557873;02.01.2008;DE14;10100173;1.44;312.26;GRP;SG
557873;02.01.2008;DE14;10100209;2;527.09;GRP;SG
557873;02.01.2008;DE14;10101101;0.5;138;GRP;SG
557873;02.01.2008;DE14;10104336;0.21;241.9;GRP;SG
557873;02.01.2008;DE14;10108655;0.5;185.8;GRP;SG
557873;02.01.2008;DE14;10121555;0.46;403.93;GRP;SG
557873;02.01.2008;DE14;10193678;1.58;342.45;GRP;SG
557874;02.01.2008;DE14;10099233;0.25;75.698;GRP;SG
557874;02.01.2008;DE14;10099361;1.21;322.33;GRP;SG
557874;02.01.2008;DE14;10099492;3.1;424.8;GRP;SG
557874;02.01.2008;DE14;10100265;0.5;185.8;GRP;SG
557874;02.01.2008;DE14;10102187;0.5;185.8;GRP;SG
557874;02.01.2008;DE14;10105610;3.44;2315.99;GRP;TL
557874;02.01.2008;DE14;10105776;0.59;145.816;GRP;SG
557874;02.01.2008;DE14;10106374;0.54;194.3;GRP;SG
557874;02.01.2008;DE14;10106832;1.38;665.906;GRP;SG
557874;02.01.2008;DE14;10106879;0.34;312.6;GRP;SG
557874;02.01.2008;DE14;10107681;0.14;162.4;GRP;SG
557874;02.01.2008;DE14;10118213;0.3;317.8;GRP;SG
557874;02.01.2008;DE14;10137234;0.07;28.8;GRP;SG
557874;02.01.2008;DE14;10156436;2.28;1509.061;GRP;TL
557875;02.01.2008;DE14;10099489;10.6;5246.14;DIR;TL
557875;02.01.2008;DE14;10099537;2.19;1551.585;GRP;TL
557875;02.01.2008;DE14;10099569;1.96;1394.886;GRP;TL
557875;02.01.2008;DE14;10100164;2.68;1425.958;GRP;TL
557876;02.01.2008;DE14;10099209;7.4;4053.171;DIR;TL
557876;02.01.2008;DE14;10100298;5.01;1457.876;GRP;TL
557876;02.01.2008;DE14;10104419;1.45;596.05;GRP;SG
557876;02.01.2008;DE14;10108141;5.12;1230.916;GRP;TL
557881;02.01.2008;DE14;10177542;57;19571.048;DIR;KL
557883;02.01.2008;DE14;10099291;8.71;4384.352;DIR;TL
557883;02.01.2008;DE14;10099503;0.26;300.4;GRP;SG
557883;02.01.2008;DE14;10099504;3.7;1788.351;GRP;TL
557883;02.01.2008;DE14;10099535;0.26;300.4;GRP;SG
557883;02.01.2008;DE14;10099607;1.19;204.082;GRP;SG
557883;02.01.2008;DE14;10099609;0.8;304.96;GRP;SG
557883;02.01.2008;DE14;10099615;3.13;2284.8;GRP;TL
557883;02.01.2008;DE14;10099618;10.9;5744.336;DIR;TL
557883;02.01.2008;DE14;10100892;1.25;337.7;GRP;SG
557883;02.01.2008;DE14;10106299;5.37;3153.405;DIR;TL
557884;02.01.2008;DE14;10099217;4.93;3162.396;DIR;TL
557884;02.01.2008;DE14;10100335;3.16;1479.855;GRP;TL
557884;02.01.2008;DE14;10101516;5.04;2623.171;GRP;TL
557884;02.01.2008;DE14;10102292;1;272.1;GRP;SG
557885;02.01.2008;DE14;10099247;4.96;3059.206;DIR;TL
557885;02.01.2008;DE14;10099332;5.31;2977.671;GRP;TL
557885;02.01.2008;DE14;10099553;5.64;3247.887;DIR;TL
557885;02.01.2008;DE14;10099955;7.22;3723.391;DIR;TL
557885;02.01.2008;DE14;10105616;4.91;2691.534;GRP;TL
557891;02.01.2008;DE12;10099381;4.39;3101.03;DIR;TL
557891;02.01.2008;DE12;10100057;9.31;5321.272;DIR;TL
557891;02.01.2008;DE12;10100132;5.51;3394.212;DIR;TL
557892;02.01.2008;DE12;10099265;3.71;924.288;GRP;SG
557892;02.01.2008;DE12;10105750;5.2;4683.55;DIR;TL
557893;02.01.2008;DE14;10099280;2.37;1491.279;GRP;TL
557893;02.01.2008;DE14;10099462;5.16;1249.848;GRP;TL
557893;02.01.2008;DE14;10099530;4.67;2726.63;GRP;TL
557893;02.01.2008;DE14;10101266;8;5062.737;DIR;TL
557893;02.01.2008;DE14;10108367;3.42;1813.51;GRP;TL
557894;02.01.2008;DE14;10099212;0.61;170.7;GRP;SG
557894;02.01.2008;DE14;10099285;5.79;2678.67;GRP;TL
557894;02.01.2008;DE14;10099564;2.61;1421.674;GRP;TL
557894;02.01.2008;DE14;10100529;4.13;2135.019;GRP;TL
557894;02.01.2008;DE14;10190044;1.45;775.667;GRP;SG
557899;02.01.2008;DE17;10100092;5.99;3596.114;DIR;TL
